Date,Close/Last,Volume,Open,High,Low
05/02/2022,$1.60,40867,$1.52,$1.6399,$1.52
04/29/2022,$1.63,13933,$1.64,$1.64,$1.58
04/28/2022,$1.62,27831,$1.62,$1.62,$1.50
04/27/2022,$1.58,30806,$1.62,$1.62,$1.50
04/26/2022,$1.60,34055,$1.60,$1.63,$1.5997
04/25/2022,$1.58,53181,$1.61,$1.6517,$1.50
04/22/2022,$1.6999,25897,$1.77,$1.77,$1.65
04/21/2022,$1.77,21442,$1.70,$1.80,$1.70
04/20/2022,$1.8099,28445,$1.79,$1.87,$1.7527
04/19/2022,$1.78,23534,$1.77,$1.81,$1.75
04/18/2022,$1.75,17739,$1.76,$1.77,$1.71
04/14/2022,$1.73,20756,$1.76,$1.778,$1.7209
04/13/2022,$1.76,37347,$1.67,$1.76,$1.661
04/12/2022,$1.68,67996,$1.71,$1.73,$1.65
04/11/2022,$1.68,72317,$1.87,$1.88,$1.68
04/08/2022,$1.92,44259,$1.92,$1.9286,$1.89
04/07/2022,$1.91,79736,$1.93,$1.9393,$1.89
04/06/2022,$1.87,65009,$1.83,$1.889,$1.82
04/05/2022,$1.83,31749,$1.84,$1.84,$1.74
04/04/2022,$1.83,57420,$1.77,$1.83,$1.76
04/01/2022,$1.76,50967,$1.75,$1.798,$1.72
03/31/2022,$1.72,30813,$1.75,$1.75,$1.66
03/30/2022,$1.75,34778,$1.72,$1.76,$1.6761
03/29/2022,$1.68,83496,$1.69,$1.80,$1.6301
03/28/2022,$1.66,27352,$1.62,$1.68,$1.611
03/25/2022,$1.66,32647,$1.65,$1.67,$1.58
03/24/2022,$1.65,30318,$1.62,$1.65,$1.60
03/23/2022,$1.61,50940,$1.58,$1.62,$1.55
03/22/2022,$1.56,28555,$1.56,$1.57,$1.51
03/21/2022,$1.53,38060,$1.61,$1.61,$1.5247
03/18/2022,$1.60,39242,$1.56,$1.61,$1.56
03/17/2022,$1.55,26520,$1.52,$1.57,$1.52
03/16/2022,$1.52,27265,$1.51,$1.55,$1.51
03/15/2022,$1.52,24726,$1.55,$1.55,$1.4632
03/14/2022,$1.45,112556,$1.59,$1.60,$1.44
03/11/2022,$1.60,17246,$1.65,$1.65,$1.60
03/10/2022,$1.64,23455,$1.55,$1.64,$1.55
03/09/2022,$1.55,64171,$1.59,$1.65,$1.55
03/08/2022,$1.59,46192,$1.57,$1.60,$1.51
03/07/2022,$1.55,70488,$1.65,$1.71,$1.50
03/04/2022,$1.57,38956,$1.55,$1.62,$1.55
03/03/2022,$1.60,57278,$1.68,$1.70,$1.59
03/02/2022,$1.63,36548,$1.59,$1.64,$1.55
03/01/2022,$1.54,30293,$1.59,$1.65,$1.54
02/28/2022,$1.57,35697,$1.58,$1.63,$1.5401
02/25/2022,$1.58,30659,$1.58,$1.61,$1.57
02/24/2022,$1.58,61794,$1.50,$1.64,$1.50
02/23/2022,$1.60,29662,$1.67,$1.6703,$1.60
02/22/2022,$1.67,30846,$1.68,$1.74,$1.67
02/18/2022,$1.71,28056,$1.69,$1.74,$1.65
02/17/2022,$1.70,33837,$1.69,$1.74,$1.6704
02/16/2022,$1.7354,29798,$1.69,$1.74,$1.68
02/15/2022,$1.68,82992,$1.62,$1.70,$1.5905
02/14/2022,$1.63,53122,$1.63,$1.64,$1.5699
02/11/2022,$1.57,44932,$1.65,$1.65,$1.556
02/10/2022,$1.60,70463,$1.58,$1.6471,$1.56
02/09/2022,$1.59,90491,$1.57,$1.66,$1.57
02/08/2022,$1.58,39527,$1.53,$1.60,$1.53
02/07/2022,$1.57,35781,$1.54,$1.62,$1.54
02/04/2022,$1.63,73900,$1.54,$1.64,$1.5076
02/03/2022,$1.53,42277,$1.52,$1.59,$1.52
02/02/2022,$1.60,73535,$1.58,$1.64,$1.55
02/01/2022,$1.5903,28585,$1.52,$1.6148,$1.52
01/31/2022,$1.53,44443,$1.47,$1.53,$1.46
01/28/2022,$1.46,44905,$1.56,$1.56,$1.43
01/27/2022,$1.57,55459,$1.54,$1.65,$1.54
01/26/2022,$1.56,58502,$1.49,$1.58,$1.49
01/25/2022,$1.49,41159,$1.51,$1.51,$1.45
01/24/2022,$1.51,91134,$1.45,$1.51,$1.40
01/21/2022,$1.45,80689,$1.51,$1.55,$1.45
01/20/2022,$1.53,45488,$1.56,$1.61,$1.53
01/19/2022,$1.55,47926,$1.53,$1.58,$1.53
01/18/2022,$1.53,64751,$1.60,$1.63,$1.53
01/14/2022,$1.60,38583,$1.63,$1.63,$1.58
01/13/2022,$1.64,68803,$1.69,$1.69,$1.62
01/12/2022,$1.67,143270,$1.61,$1.6976,$1.60
01/11/2022,$1.57,48932,$1.57,$1.6099,$1.55
01/10/2022,$1.58,80060,$1.65,$1.69,$1.55
01/07/2022,$1.63,118693,$1.75,$1.78,$1.61
01/06/2022,$1.61,87512,$1.61,$1.65,$1.53
01/05/2022,$1.58,187511,$1.75,$1.75,$1.56
01/04/2022,$1.75,443673,$1.70,$1.87,$1.69
01/03/2022,$1.64,84218,$1.63,$1.65,$1.58
12/31/2021,$1.56,103478,$1.54,$1.5801,$1.54
12/30/2021,$1.55,93274,$1.52,$1.60,$1.515
12/29/2021,$1.51,51363,$1.57,$1.57,$1.50
12/28/2021,$1.56,63688,$1.63,$1.65,$1.55
12/27/2021,$1.63,43720,$1.64,$1.65,$1.60
12/23/2021,$1.60,84257,$1.56,$1.635,$1.56
12/22/2021,$1.64,97722,$1.71,$1.71,$1.60
12/21/2021,$1.64,68774,$1.56,$1.64,$1.5223
12/20/2021,$1.56,115172,$1.55,$1.61,$1.50
12/17/2021,$1.60,237485,$1.60,$1.64,$1.52
12/16/2021,$1.74,301572,$1.72,$1.7866,$1.69
