Date,Close/Last,Volume,Open,High,Low,Brand
11/16/22,$1.28 ,5338,$1.30 ,$1.33 ,$1.26 ,FORD
11/15/22,$1.31 ,30480,$1.31 ,$1.34 ,$1.30 ,FORD
11/14/22,$1.28 ,8465,$1.21 ,$1.28 ,$1.21 ,FORD
11/11/22,$1.21 ,68142,$1.20 ,$1.25 ,$1.20 ,FORD
11/10/22,$1.21 ,6340,$1.22 ,$1.25 ,$1.20 ,FORD
11/9/22,$1.24 ,41542,$1.27 ,$1.28 ,$1.21 ,FORD
11/8/22,$1.26 ,5516,$1.24 ,$1.26 ,$1.22 ,FORD
11/7/22,$1.24 ,7295,$1.27 ,$1.27 ,$1.22 ,FORD
11/4/22,$1.22 ,21976,$1.19 ,$1.25 ,$1.19 ,FORD
11/3/22,$1.26 ,18922,$1.26 ,$1.26 ,$1.24 ,FORD
11/2/22,$1.26 ,11645,$1.28 ,$1.30 ,$1.26 ,FORD
11/1/22,$1.28 ,7316,$1.33 ,$1.34 ,$1.27 ,FORD
10/31/22,$1.31 ,50547,$1.25 ,$1.34 ,$1.25 ,FORD
10/28/22,$1.29 ,36127,$1.32 ,$1.34 ,$1.27 ,FORD
10/27/22,$1.32 ,26928,$1.26 ,$1.34 ,$1.25 ,FORD
10/26/22,$1.32 ,4678,$1.36 ,$1.39 ,$1.32 ,FORD
10/25/22,$1.35 ,13571,$1.40 ,$1.40 ,$1.32 ,FORD
10/24/22,$1.36 ,19265,$1.31 ,$1.36 ,$1.27 ,FORD
10/21/22,$1.28 ,16961,$1.36 ,$1.36 ,$1.26 ,FORD
10/20/22,$1.32 ,3728,$1.30 ,$1.37 ,$1.28 ,FORD
10/19/22,$1.30 ,8613,$1.38 ,$1.42 ,$1.30 ,FORD
10/18/22,$1.37 ,11602,$1.37 ,$1.39 ,$1.34 ,FORD
10/17/22,$1.33 ,33334,$1.27 ,$1.45 ,$1.26 ,FORD
10/14/22,$1.27 ,10560,$1.31 ,$1.31 ,$1.27 ,FORD
10/13/22,$1.31 ,12014,$1.28 ,$1.31 ,$1.28 ,FORD
10/12/22,$1.29 ,12619,$1.28 ,$1.32 ,$1.27 ,FORD
10/11/22,$1.27 ,14364,$1.30 ,$1.32 ,$1.27 ,FORD
10/10/22,$1.31 ,10580,$1.34 ,$1.34 ,$1.29 ,FORD
10/7/22,$1.35 ,5152,$1.36 ,$1.36 ,$1.35 ,FORD
10/6/22,$1.38 ,8713,$1.41 ,$1.41 ,$1.37 ,FORD
10/5/22,$1.41 ,30782,$1.50 ,$1.50 ,$1.37 ,FORD
10/4/22,$1.39 ,80297,$1.50 ,$1.50 ,$1.31 ,FORD
10/3/22,$1.43 ,10496,$1.38 ,$1.44 ,$1.38 ,FORD
9/30/22,$1.33 ,50251,$1.37 ,$1.42 ,$1.33 ,FORD
9/29/22,$1.34 ,16687,$1.26 ,$1.37 ,$1.26 ,FORD
9/28/22,$1.30 ,13177,$1.34 ,$1.34 ,$1.28 ,FORD
9/27/22,$1.32 ,10538,$1.28 ,$1.33 ,$1.26 ,FORD
9/26/22,$1.26 ,12008,$1.26 ,$1.35 ,$1.25 ,FORD
9/23/22,$1.29 ,10855,$1.27 ,$1.30 ,$1.27 ,FORD
9/22/22,$1.31 ,8496,$1.33 ,$1.35 ,$1.30 ,FORD
9/21/22,$1.32 ,22694,$1.42 ,$1.42 ,$1.31 ,FORD
9/20/22,$1.38 ,22837,$1.40 ,$1.44 ,$1.35 ,FORD
9/19/22,$1.40 ,15248,$1.34 ,$1.44 ,$1.34 ,FORD
9/16/22,$1.34 ,57668,$1.48 ,$1.48 ,$1.33 ,FORD
9/15/22,$1.43 ,9889,$1.45 ,$1.45 ,$1.39 ,FORD
9/14/22,$1.42 ,139064,$1.25 ,$1.58 ,$1.25 ,FORD
9/13/22,$1.28 ,492896,$1.43 ,$1.77 ,$1.23 ,FORD
9/12/22,$1.47 ,25419,$1.43 ,$1.49 ,$1.43 ,FORD
9/9/22,$1.46 ,25553,$1.52 ,$1.52 ,$1.43 ,FORD
9/8/22,$1.48 ,31009,$1.46 ,$1.48 ,$1.43 ,FORD
9/7/22,$1.47 ,12336,$1.43 ,$1.47 ,$1.40 ,FORD
9/6/22,$1.46 ,39719,$1.45 ,$1.48 ,$1.41 ,FORD
9/2/22,$1.48 ,16915,$1.51 ,$1.55 ,$1.47 ,FORD
9/1/22,$1.52 ,9922,$1.54 ,$1.56 ,$1.50 ,FORD
8/31/22,$1.57 ,19805,$1.61 ,$1.61 ,$1.56 ,FORD
8/30/22,$1.57 ,8967,$1.58 ,$1.63 ,$1.56 ,FORD
8/29/22,$1.55 ,7138,$1.59 ,$1.60 ,$1.55 ,FORD
8/26/22,$1.63 ,21737,$1.57 ,$1.65 ,$1.57 ,FORD
8/25/22,$1.60 ,25839,$1.59 ,$1.62 ,$1.58 ,FORD
8/24/22,$1.60 ,17117,$1.59 ,$1.64 ,$1.58 ,FORD
8/23/22,$1.58 ,12981,$1.60 ,$1.64 ,$1.57 ,FORD
8/22/22,$1.60 ,36236,$1.54 ,$1.65 ,$1.52 ,FORD
8/19/22,$1.66 ,16961,$1.66 ,$1.70 ,$1.65 ,FORD
8/18/22,$1.69 ,12987,$1.71 ,$1.71 ,$1.66 ,FORD
8/17/22,$1.71 ,42596,$1.78 ,$1.78 ,$1.71 ,FORD
8/16/22,$1.78 ,21261,$1.80 ,$1.80 ,$1.72 ,FORD
